pais,_id,anio_aprobacion,sector_institucional,descripcion_proyecto,monto_bruto_usd,origen
Guatemala,496,1971,Sector Público,Financiamiento Parcial de la Carretera el Rancho Cobán en sus Distintos Tramos,1900000.0,prestamos_sector_publico
El Salvador,497,2021,Sector Público,Programa de Apoyo a Medidas de Recuperación Económica Implementadas en beneficio de las Empresas y el Empleo afectados por el COVID-19,600000000.0,prestamos_sector_publico
Guatemala,498,1993,Sector Público,Programa de Inversión en Infraestructura Maquinaria y Equipo para la Universidad de San Carlos de la República de Guatemala,20000000.0,prestamos_sector_publico
Guatemala,499,1995,Sector Público,Proyectos de Desarrollo Social,10000000.0,prestamos_sector_publico
Guatemala,500,1976,Sector Público,Financiamiento Complejo Turístico Tikal,12000000.0,prestamos_sector_publico
Costa Rica,501,2006,Sector Público,Préstamo - Refinadora Costarricense de Petróleo  Sociedad Anónima (RECOPE),125450000.0,prestamos_sector_publico
El Salvador,502,2006,Sector Público,"LGC - Facilidad financiera al Banco Central de Reserva de la República de El Salvador
",200000000.0,prestamos_sector_publico
El Salvador,503,2022,Sector Público,LC - Comisión Ejecutiva Hidroeléctrica del Río Lempa,100000000.0,prestamos_sector_publico
Guatemala,504,1998,Sector Público,Proyecto Palín II,6000000.0,prestamos_sector_publico
Guatemala,505,2008,Sector Público,Proyecto vial Franja Transversal del Norte,203000000.0,prestamos_sector_publico
El Salvador,506,2015,Sector Público,Emisión de garantías bancarias de cumplimiento a la Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),22000000.0,prestamos_sector_publico
Nicaragua,507,1971,Sector Público,Financiamiento Parcial de la Pavimentación de la Carretera San Benito - Rama,2250000.0,prestamos_sector_publico
Guatemala,508,2008,Sector Público,Préstamo - Financiamiento para Apoyo Presupuestario al Ministerio de Comunicaciones  Infraestructura y Vivienda,74000000.0,prestamos_sector_publico
Guatemala,509,2010,Sector Público,Apoyo Presupuestario para los Sectores Educación y Salud,265000000.0,prestamos_sector_publico
El Salvador,510,2005,Sector Público,LGC - Banco de Fomento Agropecuario (BFA),10000000.0,prestamos_sector_publico
El Salvador,511,1964,Sector Público,Financiar Estudios de Factibilidad  Análisis Económico e Impresión de Informes de Carreteras  Interamericana,271000.0,prestamos_sector_publico
El Salvador,512,2011,Sector Público,Programa de Conectividad de la Infraestructura Vial para el Desarrollo,48212173.8,prestamos_sector_publico
Costa Rica,513,2005,Sector Público,Incremento LGC - Banco de Costa Rica,18300000.0,prestamos_sector_publico
Guatemala,514,1969,Sector Público,Estudios Preliminares de Ingeniería y Preparación de Planos Finales del Puerto de Champerico,450000.0,prestamos_sector_publico
El Salvador,515,2020,Sector Público,OPD para Apoyar Acciones de Política Pública y Resultados de Desarrollo,15000000.0,prestamos_sector_publico
El Salvador,516,2000,Sector Público,Programa de Apoyo al Desarrollo de la Educación Integral en El Salvador,50000000.0,prestamos_sector_publico
El Salvador,517,1997,Sector Público,LGC - Banco de Desarrollo de El Salvador (BANDESAL),43408000.0,prestamos_sector_publico
El Salvador,518,1966,Sector Público,Compra de la Biblioteca Privada del Doctor Edwin Shook de Harvard  Massachusetts  USA que Contiene Gran Variedad de Documentos Valiosos de Origen Centroamericano o Referentes a Centroamérica,140000.0,prestamos_sector_publico
Guatemala,519,2017,Sector Público,Programa VIDHAS Guatemala,100000000.0,prestamos_sector_publico
Honduras,520,1972,Sector Público,Proyectos Turísticos de Tela (Tornasal) Isla de Roatán y Copán Ruinas,350000.0,prestamos_sector_publico
Guatemala,521,1987,Sector Público,Rehabilitación de la Carretera CA-9 Norte Tramo El Rancho - Río Hondo,7620000.0,prestamos_sector_publico
Honduras,522,1974,Sector Público,Proyecto de Abastecimiento de Agua Potable Mediante los Laureles,8800000.0,prestamos_sector_publico
Honduras,523,2010,Sector Público,Programa de Mitigación de Desastres Naturales y Finalización del Anillo Periférico en el Municipio del Distrito Central,46188510.0,prestamos_sector_publico
El Salvador,524,2022,Sector Público,OPD para apoyar acciones de política y resultados de desarrollo,250000000.0,prestamos_sector_publico
Honduras,525,1982,Sector Público,Reconstrucción y Mejoramiento a Nivel de Subbase del Tramo de Carretera Valle Jesús de Otoro - La Esperanza de Aproximadamente 287 Km de la Ruta CA-11A,9764000.0,prestamos_sector_publico
Guatemala,526,1973,Sector Público,Completar el Financiamiento y Mejorar la Operación de la Arteria Regional de Telecomunicaciones en la Parte que Corresponde a la República de Guatemala,600000.0,prestamos_sector_publico
El Salvador,527,1992,Sector Público,Proyecto Instalación de 110 Mw en Unidades Térmicas en una Central de Ciclo Combinado Acajutla Fase I en la República de El Salvador,20000000.0,prestamos_sector_publico
El Salvador,528,1987,Sector Público,Proyecto Estabilización del Campo Geotérmico de Ahuachapán,8900000.0,prestamos_sector_publico
Guatemala,529,1980,Sector Público,III Etapa de las Obras del Proyecto de Emergencia de Abastecimiento de Agua para la Ciudad de Guatemala,1500000.0,prestamos_sector_publico
Honduras,530,1966,Sector Público,LC - Instituto Nacional de la Vivienda para Compra o Construcciones de Viviendas Elegibles.,1500000.0,prestamos_sector_publico
El Salvador,531,1980,Sector Público,Compra de Hipotecas Y/o Titulos Hipotecarios Conforme a las Politicas del Programa de Vivienda Media Baja del Banco Vigentes a la Fecha de cada Desembolso.,5000000.0,prestamos_sector_publico
Guatemala,532,1978,Sector Público,Resolver la Situación Deficitaria de la Sieca Producida por los Trabajo Extraordinarios Realizados a Solicitud de los Estados Miembros,500000.0,prestamos_sector_publico
Guatemala,533,1968,Sector Público,Financiamiento Parcial de la Construcción del Tramo Santa Elena - Cobán de la Carretera el Rancho Cobán,4700000.0,prestamos_sector_publico
Honduras,534,1967,Sector Público,Estudios que Permitan Tomar Decisiones Sobre la Normalización de las Características Técnicas de los Sistemas de Transmisión Distribución y Utilización de Energía Eléctrica,25680.0,prestamos_sector_publico
Costa Rica,535,2022,Sector Público,Programa Temporal de Apoyo ante la Crisis de los Combustibles en Costa Rica,200000000.0,prestamos_sector_publico
El Salvador,536,2016,Sector Público,Incremento LGC - Banco Hipotecario de El Salvador,11000000.0,prestamos_sector_publico
Honduras,537,1969,Sector Público,Adquisición de 30 Rejillas o Furgones para Uso del Prestatario,250000.0,prestamos_sector_publico
El Salvador,538,1964,Sector Público,LC - Banco Hipotecario de El Salvador  Programa Regional para Financiamiento de la Vivienda,1000000.0,prestamos_sector_publico
El Salvador,539,1973,Sector Público,Proyecto y Pavimentación de Cuatro Carriles del Tramo Km 35 el Congo,5000000.0,prestamos_sector_publico
Honduras,540,1994,Sector Público,Proyecto de Rehabilitación de las Plantas Cañaveral y Río Lindo,1000000.0,prestamos_sector_publico
El Salvador,541,2019,Sector Público,Programa de Desarrollo Social,91000000.0,prestamos_sector_publico
El Salvador,542,2020,Sector Público,Programa Mi Nueva Escuela,200000000.0,prestamos_sector_publico
Guatemala,543,1981,Sector Público,LC - Instituto Centroamericano de Investigación y Tecnología Industrial,289000.0,prestamos_sector_publico
El Salvador,544,2011,Sector Público,Línea contingente para la emisión de garantías bancarias de cumplimiento a la Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),24000000.0,prestamos_sector_publico
El Salvador,545,1966,Sector Público,Estudio de Factibilidad Técnica y de Ingeniería y Diseño Final de un Rompeolas en la Rada del Puerto de Acajutla,125000.0,prestamos_sector_publico
Honduras,546,1970,Sector Público,Estudio para Determinar las Posibilidades de la Extensión de la Vía Férrea Interconexión con los Ferrocarriles de Guatemala y el Mejoramiento y Reacondicionamiento de las Instalaciones del Prestatario,50000.0,prestamos_sector_publico
Honduras,547,1980,Sector Público,Construcción de la Carretera la Ceibita - Santa Bárbara - Taulbé en su Sección II Comprendida Entre la Ceibita y Desvío a San Nicolás con una Longitud de 66 Kms Aproximadamente,8000000.0,prestamos_sector_publico
El Salvador,548,1996,Sector Público,Programa de Construcción de Mercados Municipales,11263530.0,prestamos_sector_publico
El Salvador,549,1997,Sector Público,Programa de Infraestructura Social y Económica,40000000.0,prestamos_sector_publico
El Salvador,550,2009,Sector Público,Programa de Apoyo a la Educación y Seguridad Pública Obras Rurales y Mitigación de Riesgos,143433870.0,prestamos_sector_publico
Honduras,551,2005,Sector Público,Programa Nacional de Electrificación Social NDF-2000,10072463.49,prestamos_sector_publico
Guatemala,552,1979,Sector Público,Reconstrucción y Mejoramiento del Tramo de la Carretera Interamericana de Occidente (CA1 Mixco - San Lucas - Siguatepeque),8100000.0,prestamos_sector_publico
Honduras,553,1993,Sector Público,Construcción de la Carretera San Pedro Sula - Puerto Cortés República de Honduras,6120000.0,prestamos_sector_publico
Nicaragua,554,1969,Sector Público,Proyecto de la Arteria Regional de Telecomunicaciones en la Parte que Corresponde a la República de Nicaragua,3300000.0,prestamos_sector_publico
Honduras,555,1976,Sector Público,Complejo Arqueológico y Turístico de Copán,9000000.0,prestamos_sector_publico
Guatemala,556,1978,Sector Público,Construcción del Edificio Educativo y del Edificio de la Residencia Estudiantil Verapaz Ambos del Instituto Femenino de Educación Superior Asi Como la Adquisición de Equipo Mobiliario y Enseres Didácticos,1200000.0,prestamos_sector_publico
El Salvador,557,2025,Sector Público,Programa Surf City - Fase II,65000000.0,prestamos_sector_publico
Guatemala,558,2005,Sector Público,Obras de Tendido Eléctrico de Transmisión en la Zona Norte (146 Km) y Zona Sur (54 Km) de Guatemala,63270000.0,prestamos_sector_publico
Guatemala,559,1997,Sector Público,Proyecto Adquisición de 800 Autobuses para el Transporte Urbano Público de la Ciudad de Guatemala,56214673.0,prestamos_sector_publico
Honduras,560,1966,Sector Público,Construcción del Tramo Tela - La Ceiba de la Carretera Litoral Atlántico y  el Tramo de el Triunfo a la Frontera con Nicaragua de la Carretera CA3,9507000.0,prestamos_sector_publico
Costa Rica,561,2008,Sector Público,Proyecto Sistema de Interconexión Eléctrica para los Países de América Central (Siepac),10000000.0,prestamos_sector_publico
El Salvador,562,2007,Sector Público,Programa de Vías Suburbanas y Caminos Rurales,60000000.0,prestamos_sector_publico
Guatemala,563,1996,Sector Público,Proyecto Desarrollo Rural Sostenible en Zonas de Fragilidad Ecológica en la Región del Trifinio,13971000.0,prestamos_sector_publico
Guatemala,564,2015,Sector Público,Tercera Etapa del Programa de Inversión en Infraestructura Maquinaria y Equipo para la Universidad de San Carlos de Guatemala,120000000.0,prestamos_sector_publico
Honduras,565,1972,Sector Público,Proyecto de Modernización de los Servicios de Navegación Aérea,245000.0,prestamos_sector_publico
El Salvador,566,2020,Sector Público,OPD para Apoyar Acciones de Politica Pública y Resultados de Desarrollo,235000000.0,prestamos_sector_publico
Nicaragua,567,1991,Sector Público,Fondos Destinados al Programa de Vivienda México/Bcie en la Ciudad de Managua.,28000000.0,prestamos_sector_publico
Honduras,568,1966,Sector Público,Financiar Estudios de Ingeniería y Factibilidad Económica de Proyectos Caminos de Acceso Carreteras de Litoral,210000.0,prestamos_sector_publico
Honduras,569,1987,Sector Público,Proyecto de Carretera Siguatepeque - Valle - Jesús de Otoro (Sección I del Proyecto Siguatepeque - La Esperanza en la Ruta CA-11A),110000.0,prestamos_sector_publico
El Salvador,570,2006,Sector Público,Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),60000000.0,prestamos_sector_publico
El Salvador,571,1965,Sector Público,LC - Banco Hipotecario de El Salvador,1000000.0,prestamos_sector_publico
Honduras,572,1969,Sector Público,Adquisición de Equipo Médico Hospitalario Especializado para un Hospital a Instalarse por el Prestatario en la Ciudad de San Pedro Sula,2691600.0,prestamos_sector_publico
