_id,anio_aprobacion,cantidad,cantidad_aprobaciones,fondo,modalidad,monto_bruto_usd,origen,pais,producto,sector_institucional,socio
119,2016,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Guatemala,Cooperación de Países Fundadores y Regionales no Fundadores,,Fundador
120,2022,3.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,4060375.0,cooperacion,República Dominicana,Cooperación Técnica,,Regional No Fundador
121,2024,1.0,,TCPT - Taiwan CABEI Partnership Trust Fund,No Reembolsable,986050.45,cooperacion,Belice,Cooperación Técnica,,Regional No Fundador
122,2021,6.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1832713.75,cooperacion,Regional,Cooperación Técnica,,Desconocido
123,2017,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,24990.0,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
124,2021,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,194250.0,cooperacion,El Salvador,Cooperación Técnica,,Fundador
125,2016,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,398750.0,cooperacion,Honduras,Cooperación Técnica,,Fundador
126,2016,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,98811.3,cooperacion,Guatemala,Cooperación Técnica,,Fundador
127,2022,3.0,,KTF,No Reembolsable,2000000.0,cooperacion,República Dominicana,Cooperación Técnica,,Regional No Fundador
128,2025,1.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,950000.0,cooperacion,Belice,Cooperación Técnica,,Regional No Fundador
129,2021,3.0,,KTF,No Reembolsable,300000.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
130,2018,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Costa Rica,Cooperación de Países Fundadores y Regionales no Fundadores,,Fundador
131,2021,1.0,,KTF,No Reembolsable,125000.0,cooperacion,El Salvador,Cooperación Técnica,,Fundador
132,2017,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,,Fundador
133,2017,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,64837.5,cooperacion,Guatemala,Cooperación Técnica,,Fundador
134,2023,3.0,,Fondos Ordinarios,No Reembolsable,1500000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
135,2010,1.0,,Fondos Ordinarios,No Reembolsable,200000.0,cooperacion,Panamá,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
136,2022,5.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1122745.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
137,2018,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1320000.0,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
138,2022,2.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,,Fundador
139,2017,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Honduras,Cooperación de Países Fundadores y Regionales no Fundadores,,Fundador
140,2018,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,,Fundador
141,2023,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,República Dominicana,Cooperación de Países Fundadores y Regionales no Fundadores,,Regional No Fundador
142,2012,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Panamá,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
