pais,_id,anio_aprobacion,sector_institucional,monto_bruto_usd,cantidad_aprobaciones,origen
Honduras,421,1984,Sector Público,14100000.0,2,prestamos
El Salvador,422,2019,Sector Público,531162715.48,5,prestamos
Guatemala,423,2001,Sector Público,97651252.0,4,prestamos
Guatemala,424,2025,Sector Público,60000000.0,1,prestamos
Guatemala,425,2022,Sector Privado,100000000.0,1,prestamos
Panamá,426,2015,Sector Privado,20000000.0,1,prestamos
Guatemala,427,2017,Sector Privado,37000000.0,2,prestamos
Guatemala,428,2014,Sector Privado,56607000.0,3,prestamos
Guatemala,429,2009,Sector Público,143121400.0,3,prestamos
Honduras,430,1978,Sector Privado,3250000.0,3,prestamos
El Salvador,431,1970,Sector Privado,5478600.0,6,prestamos
Honduras,432,1993,Sector Privado,11487100.0,13,prestamos
El Salvador,433,2006,Sector Público,275000000.0,3,prestamos
Nicaragua,434,1971,Sector Privado,2825000.0,8,prestamos
El Salvador,435,2005,Sector Público,232528347.75,5,prestamos
Honduras,436,2020,Sector Público,846779622.95,6,prestamos
Nicaragua,437,1974,Sector Privado,2800000.0,3,prestamos
Guatemala,438,1966,Sector Privado,4211080.0,14,prestamos
Guatemala,439,2007,Sector Privado,567905000.0,19,prestamos
Honduras,440,1996,Sector Privado,58400000.0,14,prestamos
Guatemala,441,2022,Sector Público,170000000.0,1,prestamos
Panamá,442,2015,Sector Público,200000000.0,1,prestamos
Guatemala,443,2017,Sector Público,100000000.0,1,prestamos
Guatemala,444,2014,Sector Público,250000000.0,1,prestamos
Honduras,445,1975,Sector Privado,19215089.0,18,prestamos
Honduras,446,1978,Sector Público,28080000.0,8,prestamos
El Salvador,447,1970,Sector Público,2397000.0,4,prestamos
Honduras,448,1993,Sector Público,86941000.0,9,prestamos
Guatemala,449,1962,Sector Privado,190000.0,2,prestamos
Nicaragua,450,1971,Sector Público,11077486.0,10,prestamos
Guatemala,451,1979,Sector Privado,2250000.0,5,prestamos
Nicaragua,452,2018,Sector Público,365114696.0,3,prestamos
